DateTime,baseline_grid_to_plant_kW,flexible_grid_to_plant_kW
2020-01-01 00:00:00,1208.14844,1129.9999999997794
2020-01-01 00:15:00,1223.949066,1145.999999999675
2020-01-01 00:30:00,1211.642914,1137.9999999996705
2020-01-01 00:45:00,1246.571045,1245.8561534473035
2020-01-01 01:00:00,1232.84845,1161.999999999865
2020-01-01 01:15:00,1198.671142,1220.697747773471
2020-01-01 01:30:00,1247.9890140000002,1161.9999999998543
2020-01-01 01:45:00,1258.949219,1236.820311342093
2020-01-01 02:00:00,1191.0869140000002,1089.9999999998447
2020-01-01 02:15:00,1163.724121,1105.9999999994532
2020-01-01 02:30:00,1196.580078,1121.9999999996296
2020-01-01 02:45:00,1203.7919919999997,1121.999999999828
2020-01-01 03:00:00,1144.15747,1081.9999999996242
2020-01-01 03:15:00,1138.79785,1089.9999999994363
2020-01-01 03:30:00,1162.394532,1089.9999999998122
2020-01-01 03:45:00,1104.152832,1033.9999999996112
2020-01-01 04:00:00,1124.427248,1073.9999999996069
2020-01-01 04:15:00,1105.7558600000002,1057.9999999994204
2020-01-01 04:30:00,1119.172848,1061.9999999997942
2020-01-01 04:45:00,1119.2500000000002,1204.379195128498
2020-01-01 05:00:00,1074.933596,1202.2457634232724
2020-01-01 05:15:00,1071.861816,1021.9999999995804
2020-01-01 05:30:00,1065.95996,1013.9999999997718
2020-01-01 05:45:00,1047.6513680000003,1009.9999999993961
2020-01-01 06:00:00,1054.055176,1005.9999999997632
2020-01-01 06:15:00,1041.816896,1005.9999999993872
2020-01-01 06:30:00,1036.364744,997.999999999753
2020-01-01 06:45:00,1009.5082999999998,981.9999999995564
2020-01-01 07:00:00,995.0546880000002,977.9999999993746
2020-01-01 07:15:00,1021.760744,985.9999999995446
2020-01-01 07:30:00,1037.05078,993.9999999997328
2020-01-01 07:45:00,1041.533204,1149.6267968771049
2020-01-01 08:00:00,983.268552,1122.673339539968
2020-01-01 08:15:00,986.931644,1136.1818744219263
2020-01-01 08:30:00,989.968748,1078.7877055240824
2020-01-01 08:45:00,973.0283200000001,1063.1027206409883
2020-01-01 09:00:00,958.03418,1048.6731389155273
2020-01-01 09:15:00,1011.2236319999998,1143.3416407492018
2020-01-01 09:30:00,1015.288088,1100.8556417549735
2020-01-01 09:45:00,1027.89746,1090.9873846379692
2020-01-01 10:00:00,1021.5937520000001,1084.1295716593527
2020-01-01 10:15:00,1021.775388,1078.156333383092
2020-01-01 10:30:00,1115.65332,1171.4195713063552
2020-01-01 10:45:00,1107.552736,1165.936807118381
2020-01-01 11:00:00,1074.308592,1183.134722531552
2020-01-01 11:15:00,1145.610352,1152.630264123468
2020-01-01 11:30:00,1176.082032,1182.1099201819236
2020-01-01 11:45:00,1167.610352,1172.3822060646814
2020-01-01 12:00:00,1159.145508,1162.8795053781814
2020-01-01 12:15:00,1212.839844,1214.3614514132064
2020-01-01 12:30:00,1234.161132,1234.8087628509886
2020-01-01 12:45:00,1183.79492,1184.168620737979
2020-01-01 13:00:00,1185.134768,1185.2710339552043
2020-01-01 13:15:00,1203.935548,1203.8660267391056
2020-01-01 13:30:00,1206.2636720000003,1206.017301263288
2020-01-01 13:45:00,1199.580076,1199.185784390801
2020-01-01 14:00:00,1188.779296,1198.5555520344033
2020-01-01 14:15:00,1250.24414,1251.084762828589
2020-01-01 14:30:00,1296.628908,1297.4054165987409
2020-01-01 14:45:00,1224.640624,1225.3184345191582
2020-01-01 15:00:00,1216.792968,1217.384876679111
2020-01-01 15:15:00,1294.867188,1295.3723987940466
2020-01-01 15:30:00,1272.0585960000003,1257.5480515944023
2020-01-01 15:45:00,1258.765624,1273.7479573302373
2020-01-01 16:00:00,1264.371092,1116.3607344918246
2020-01-01 16:15:00,1245.332032,1101.7564556522448
2020-01-01 16:30:00,1243.27344,1130.369114096471
2020-01-01 16:45:00,1214.55664,1137.999999999487
2020-01-01 17:00:00,1199.941404,1103.2197471574898
2020-01-01 17:15:00,1250.138672,1161.999999999554
2020-01-01 17:30:00,1227.638672,1149.9999999995512
2020-01-01 17:45:00,1204.679688,1133.9999999994764
2020-01-01 18:00:00,1189.292968,1117.9999999995441
2020-01-01 18:15:00,1221.796876,1126.5877712845006
2020-01-01 18:30:00,1181.279296,1117.999999999468
2020-01-01 18:45:00,1198.083984,1129.9999999995352
2020-01-01 19:00:00,1187.951172,1117.9999999995325
2020-01-01 19:15:00,1240.287112,1138.2919283108174
2020-01-01 19:30:00,1199.796876,1128.0439751480885
2020-01-01 19:45:00,1191.3457,1125.9999999994536
2020-01-01 20:00:00,1187.042968,1117.9999999995207
2020-01-01 20:15:00,1243.9668,1132.8200876545186
2020-01-01 20:30:00,1230.673828,1125.208033593165
2020-01-01 20:45:00,1206.292968,1119.5116090216832
2020-01-01 21:00:00,1192.5078119999998,1126.0000000025075
2020-01-01 21:15:00,1223.945312,1142.0000000134594
2020-01-01 21:30:00,1224.525392,1150.0000000045331
2020-01-01 21:45:00,1185.1816400000002,1122.0000000023404
2020-01-01 22:00:00,1176.966796,1114.000000004198
2020-01-01 22:15:00,1221.976564,1142.000000010527
2020-01-01 22:30:00,1186.902344,1122.0000000040195
2020-01-01 22:45:00,1165.361328,1110.000000002126
2020-01-01 23:00:00,1167.48828,1102.0000000037282
2020-01-01 23:15:00,1209.0410160000001,1134.000000008447
2020-01-01 23:30:00,1158.976564,1244.0834297872889
2020-01-01 23:45:00,1158.625,1121.4988083289813
2020-01-02 00:00:00,1135.47656,986.0000000000784
2020-01-02 00:15:00,1153.005371,1192.5965345876903
2020-01-02 00:30:00,1141.789856,1247.1310482084202
2020-01-02 00:45:00,1127.837219,1081.9999999996353
2020-01-02 01:00:00,1122.42041,1073.9999999996194
2020-01-02 01:15:00,1098.532959,1018.0000000003522
2020-01-02 01:30:00,1145.2799070000003,1156.137243212274
2020-01-02 01:45:00,1106.767334,1130.702819670888
2020-01-02 02:00:00,1090.659424,1014.0000000002807
2020-01-02 02:15:00,1080.219482,1075.7138089866205
2020-01-02 02:30:00,1075.61377,1006.0000000002335
2020-01-02 02:45:00,1079.241211,1079.580877969624
2020-01-02 03:00:00,1030.546387,982.0000000001857
2020-01-02 03:15:00,1020.224122,989.9999999988379
2020-01-02 03:30:00,1053.3938000000003,1002.0000000001459
2020-01-02 03:45:00,1025.493164,997.9999999988008
2020-01-02 04:00:00,1023.85156,929.9999999993867
2020-01-02 04:15:00,1014.965332,894.000000000072
2020-01-02 04:30:00,999.8876960000001,1060.922041094561
2020-01-02 04:45:00,1018.7729480000002,1058.3349950122008
2020-01-02 05:00:00,1001.2373040000001,890.0000000000123
2020-01-02 05:15:00,1021.1030280000001,961.9999999993125
2020-01-02 05:30:00,1015.4448240000002,985.9999999992907
2020-01-02 05:45:00,1013.1391599999998,985.9999999986748
2020-01-02 06:00:00,992.642092,945.9999999999314
2020-01-02 06:15:00,1011.125,1045.067291073116
2020-01-02 06:30:00,1023.1083960000001,1058.1936314653742
2020-01-02 06:45:00,1035.38672,833.9999999998721
2020-01-02 07:00:00,986.378908,882.0000000005589
2020-01-02 07:15:00,1003.447264,934.7076708772421
2020-01-02 07:30:00,1016.3603520000001,934.6898684549336
2020-01-02 07:45:00,1061.685548,882.0000000010991
2020-01-02 08:00:00,1030.201172,1235.8764812116992
2020-01-02 08:15:00,1075.881836,1287.5073696532572
2020-01-02 08:30:00,1174.7285160000001,1239.8764812922477
2020-01-02 08:45:00,1128.7158200000001,1235.8764812636268
2020-01-02 09:00:00,1130.373044,1239.8764812615316
2020-01-02 09:15:00,1222.25,1439.8764812579386
2020-01-02 09:30:00,1256.3496120000002,1516.1445088028886
2020-01-02 09:45:00,1238.236328,1500.721807713343
2020-01-02 10:00:00,1177.178708,1401.4289634898312
2020-01-02 10:15:00,1253.305668,1382.0102553849113
2020-01-02 10:30:00,1258.21582,1395.1283639256822
2020-01-02 10:45:00,1225.106444,1360.46618338447
2020-01-02 11:00:00,1227.361328,1361.3240516765766
2020-01-02 11:15:00,1326.3515639999998,1305.3968565880316
2020-01-02 11:30:00,1320.208984,1347.115707205102
